id,der_id,scenario,date,value
1,1,3,2022-08-08 00:00:00,4.523865980225002
2,1,3,2022-09-12 00:00:00,4.65939291113193
3,1,3,2022-08-29 00:00:00,4.485852192329745
4,1,3,2022-05-02 00:00:00,4.690710516274868
5,1,1,2027-11-14 00:00:00,0
6,1,1,2027-04-04 00:00:00,0
7,1,1,2027-07-18 00:00:00,0
8,1,1,2027-10-17 00:00:00,0
9,1,2,2027-07-04 00:00:00,13.232548812939445
10,1,2,2027-06-06 00:00:00,14.160903483811133
11,1,2,2027-08-08 00:00:00,12.6421111731685
12,1,2,2027-06-06 00:00:00,14.160903483811133
13,1,3,2027-09-12 00:00:00,31.98299707868497
14,1,3,2027-05-16 00:00:00,33.09316613407506
15,1,3,2027-11-14 00:00:00,35.48998235868296
16,1,3,2027-03-14 00:00:00,36.72372089685591
17,1,4,2027-09-19 00:00:00,34.285968554998604
18,1,4,2027-02-28 00:00:00,40.34866372515288
19,1,4,2027-02-07 00:00:00,37.71772777980943
20,1,4,2027-03-14 00:00:00,36.72372089685591
21,1,1,2032-03-06 00:00:00,0
22,1,1,2032-03-20 00:00:00,0
23,1,1,2032-07-24 00:00:00,0
24,1,1,2032-11-27 00:00:00,0
25,1,2,2032-10-09 00:00:00,34.17320941971645
26,1,2,2032-08-07 00:00:00,29.38886036224922
27,1,2,2032-09-11 00:00:00,32.7596644899828
28,1,2,2032-06-19 00:00:00,25.522784638677667
29,1,3,2032-03-27 00:00:00,73.18979200611376
30,1,3,2032-07-17 00:00:00,64.9804342941326
31,1,3,2032-10-09 00:00:00,68.34641881823454
32,1,3,2032-05-15 00:00:00,66.97632624066298
33,1,2,2032-10-09 00:00:00,34.17320941971645
34,1,2,2032-08-07 00:00:00,29.38886036224922
35,1,2,2032-09-11 00:00:00,32.7596644899828
36,1,2,2032-06-19 00:00:00,25.522784638677667
37,1,3,2032-03-27 00:00:00,73.18979200611376
38,1,3,2032-07-17 00:00:00,64.9804342941326
39,1,3,2032-10-09 00:00:00,68.34641881823454
40,1,3,2032-05-15 00:00:00,66.97632624066298
41,1,4,2032-02-14 00:00:00,74.82369580092389
42,1,4,2032-11-27 00:00:00,77.21545320607072
43,1,4,2032-09-18 00:00:00,78.38978838019608
44,1,4,2032-11-27 00:00:00,77.21545320607072
45,1,3,2032-03-27 00:00:00,73.18979200611376
46,1,3,2032-07-17 00:00:00,64.9804342941326
47,1,3,2032-10-09 00:00:00,68.34641881823454
48,1,3,2032-05-15 00:00:00,66.97632624066298
49,1,4,2032-02-14 00:00:00,74.82369580092389
50,1,4,2032-11-27 00:00:00,77.21545320607072
51,1,4,2032-09-18 00:00:00,78.38978838019608
52,1,4,2032-11-27 00:00:00,77.21545320607072
53,1,4,2032-02-14 00:00:00,74.82369580092389
54,1,4,2032-11-27 00:00:00,77.21545320607072
55,1,4,2032-09-18 00:00:00,78.38978838019608
56,1,4,2032-11-27 00:00:00,77.21545320607072
57,1,1,2037-09-26 00:00:00,0
58,1,1,2037-10-24 00:00:00,0
59,1,1,2037-12-19 00:00:00,0
60,1,1,2037-09-26 00:00:00,0
61,1,2,2037-01-31 00:00:00,62.371148049669074
62,1,2,2037-09-26 00:00:00,55.02378040893807
63,1,2,2037-10-10 00:00:00,52.780670740170464
64,1,2,2037-06-13 00:00:00,53.21706683668369
65,1,3,2037-03-21 00:00:00,126.69732798882083
66,1,3,2037-12-12 00:00:00,130.6806901401935
67,1,3,2037-11-21 00:00:00,129.66547452649
68,1,3,2037-11-28 00:00:00,127.32047389221412
69,1,2,2037-01-31 00:00:00,62.371148049669074
70,1,2,2037-09-26 00:00:00,55.02378040893807
71,1,2,2037-10-10 00:00:00,52.780670740170464
72,1,2,2037-06-13 00:00:00,53.21706683668369
73,1,3,2037-03-21 00:00:00,126.69732798882083
74,1,3,2037-12-12 00:00:00,130.6806901401935
75,1,3,2037-11-21 00:00:00,129.66547452649
76,1,3,2037-11-28 00:00:00,127.32047389221412
77,1,4,2037-06-20 00:00:00,129.25015069204386
78,1,4,2037-07-11 00:00:00,124.3678524579919
79,1,4,2037-01-24 00:00:00,145.5989362630151
80,1,4,2037-09-05 00:00:00,139.2557194635748
81,1,3,2037-03-21 00:00:00,126.69732798882083
82,1,3,2037-12-12 00:00:00,130.6806901401935
83,1,3,2037-11-21 00:00:00,129.66547452649
84,1,3,2037-11-28 00:00:00,127.32047389221412
85,1,4,2037-06-20 00:00:00,129.25015069204386
86,1,4,2037-07-11 00:00:00,124.3678524579919
87,1,4,2037-01-24 00:00:00,145.5989362630151
88,1,4,2037-09-05 00:00:00,139.2557194635748
89,1,2,2037-01-31 00:00:00,62.371148049669074
90,1,2,2037-09-26 00:00:00,55.02378040893807
91,1,2,2037-10-10 00:00:00,52.780670740170464
92,1,2,2037-06-13 00:00:00,53.21706683668369
93,1,3,2037-03-21 00:00:00,126.69732798882083
94,1,3,2037-12-12 00:00:00,130.6806901401935
95,1,3,2037-11-21 00:00:00,129.66547452649
96,1,3,2037-11-28 00:00:00,127.32047389221412
97,1,4,2037-06-20 00:00:00,129.25015069204386
98,1,4,2037-07-11 00:00:00,124.3678524579919
99,1,4,2037-01-24 00:00:00,145.5989362630151
100,1,4,2037-09-05 00:00:00,139.2557194635748
101,1,3,2037-03-21 00:00:00,126.69732798882083
102,1,3,2037-12-12 00:00:00,130.6806901401935
103,1,3,2037-11-21 00:00:00,129.66547452649
104,1,3,2037-11-28 00:00:00,127.32047389221412
105,1,4,2037-06-20 00:00:00,129.25015069204386
106,1,4,2037-07-11 00:00:00,124.3678524579919
107,1,4,2037-01-24 00:00:00,145.5989362630151
108,1,4,2037-09-05 00:00:00,139.2557194635748
109,1,4,2037-06-20 00:00:00,129.25015069204386
110,1,4,2037-07-11 00:00:00,124.3678524579919
111,1,4,2037-01-24 00:00:00,145.5989362630151
