id,lin_id,scenario,date,value
76,2,2,2026-01-01 00:00:00,700
77,2,2,2026-06-01 00:00:00,1050
78,2,3,2025-07-01 00:00:00,1050
79,2,3,2025-12-01 00:00:00,700
80,2,3,2026-01-01 00:00:00,700
81,2,3,2026-06-01 00:00:00,1050
82,2,1,2030-07-01 00:00:00,1050
83,2,1,2030-12-01 00:00:00,700
84,2,1,2031-01-01 00:00:00,700
85,2,1,2031-06-01 00:00:00,1050
86,2,2,2030-07-01 00:00:00,1050
87,2,2,2030-12-01 00:00:00,700
88,2,2,2031-01-01 00:00:00,700
89,2,2,2031-06-01 00:00:00,1050
90,2,3,2030-07-01 00:00:00,1050
91,2,3,2030-12-01 00:00:00,700
92,2,3,2031-01-01 00:00:00,700
93,2,3,2031-06-01 00:00:00,1050
94,2,1,2035-07-01 00:00:00,1050
95,2,1,2035-12-01 00:00:00,700
96,2,1,2036-01-01 00:00:00,700
97,2,1,2036-06-01 00:00:00,1050
98,2,2,2035-07-01 00:00:00,1050
99,2,2,2035-12-01 00:00:00,700
100,2,2,2036-01-01 00:00:00,700
101,2,2,2036-06-01 00:00:00,1050
102,2,3,2035-07-01 00:00:00,1050
103,2,3,2035-12-01 00:00:00,700
104,2,3,2036-01-01 00:00:00,700
105,2,3,2036-06-01 00:00:00,1050
106,2,1,2040-07-01 00:00:00,1050
107,2,1,2040-12-01 00:00:00,700
108,2,1,2041-01-01 00:00:00,700
109,2,1,2041-06-01 00:00:00,1050
110,2,2,2040-07-01 00:00:00,1050
111,2,2,2040-12-01 00:00:00,700
112,2,2,2041-01-01 00:00:00,700
113,2,2,2041-06-01 00:00:00,1050
114,2,3,2040-07-01 00:00:00,1050
115,2,3,2040-12-01 00:00:00,700
116,2,3,2041-01-01 00:00:00,700
117,2,3,2041-06-01 00:00:00,1050
118,2,1,2050-07-01 00:00:00,1050
119,2,1,2050-12-01 00:00:00,700
120,2,1,2051-01-01 00:00:00,700
121,2,1,2051-06-01 00:00:00,1050
122,2,2,2050-07-01 00:00:00,1050
