id,h2dem_id,scenario,date,value
190,4,1,2031-07-01 00:00:00,29091.350686251615
191,4,1,2032-07-01 00:00:00,45980.04523133626
192,4,1,2033-07-01 00:00:00,57129.21965815668
193,4,1,2034-07-01 00:00:00,64980.71489030967
194,4,1,2035-07-01 00:00:00,65923.4912251385
195,4,1,2036-07-01 00:00:00,66849.43760972927
196,4,1,2037-07-01 00:00:00,67763.10557284458
197,4,1,2038-07-01 00:00:00,68836.45783820338
198,4,1,2039-07-01 00:00:00,70090.14781361712
199,4,1,2040-07-01 00:00:00,70813.5389561609
200,4,1,2041-07-01 00:00:00,71820.02154920578
201,4,1,2042-07-01 00:00:00,72979.51416100716
202,4,1,2043-07-01 00:00:00,74049.18856781589
203,4,1,2044-07-01 00:00:00,75200.48633491364
204,4,1,2045-07-01 00:00:00,76239.96743628981
205,4,1,2046-07-01 00:00:00,77128.15820292926
206,4,1,2047-07-01 00:00:00,78324.94638985244
207,4,1,2048-07-01 00:00:00,79470.35012909876
208,4,1,2049-07-01 00:00:00,79470.35012909876
209,4,2,2024-07-01 00:00:00,57.27970781911612
210,4,2,2025-07-01 00:00:00,57.559872833537355
211,4,2,2026-07-01 00:00:00,57.98106249437029
212,4,2,2027-07-01 00:00:00,58.541229760049546
213,4,2,2028-07-01 00:00:00,1322.8171680305904
214,4,2,2029-07-01 00:00:00,5782.097080555374
215,4,2,2030-07-01 00:00:00,10541.513583337839
216,4,2,2031-07-01 00:00:00,16227.25290191955
217,4,2,2032-07-01 00:00:00,25554.841424173348
218,4,2,2033-07-01 00:00:00,49622.25132449565
219,4,2,2034-07-01 00:00:00,72636.3305133915
220,4,2,2035-07-01 00:00:00,79949.86260512819
221,4,2,2036-07-01 00:00:00,87484.49541223339
222,4,2,2037-07-01 00:00:00,94743.311796465
223,4,2,2038-07-01 00:00:00,99702.20246555666
224,4,2,2039-07-01 00:00:00,116378.93227197406
225,4,2,2040-07-01 00:00:00,123052.14629346092
226,4,2,2041-07-01 00:00:00,132338.62400320946
227,4,2,2042-07-01 00:00:00,139768.28479299843
228,4,2,2043-07-01 00:00:00,147727.4458655843
229,4,2,2044-07-01 00:00:00,153881.20222641403
230,4,2,2045-07-01 00:00:00,161094.0246337289
231,4,2,2046-07-01 00:00:00,168388.92113486107
232,4,2,2047-07-01 00:00:00,173503.7991262343
233,4,2,2048-07-01 00:00:00,182348.3800287226
234,4,2,2049-07-01 00:00:00,189136.37566715793
235,4,3,2024-07-01 00:00:00,135.6423145489788
236,4,3,2025-07-01 00:00:00,114.02269272702824
237,4,3,2026-07-01 00:00:00,103.56082513189065
238,4,3,2027-07-01 00:00:00,141.8884580007247
239,4,3,2028-07-01 00:00:00,15136.44482680002
240,4,3,2029-07-01 00:00:00,32802.44591748007
241,4,3,2030-07-01 00:00:00,59631.75640319556
242,4,3,2031-07-01 00:00:00,87735.73140579769
243,4,3,2032-07-01 00:00:00,119478.40765163393
244,4,3,2033-07-01 00:00:00,125564.06651955981
245,4,3,2034-07-01 00:00:00,125186.25181639119
246,4,3,2035-07-01 00:00:00,132126.47806743294
