id,gen_id,scenario,date,value
81,9,1,2051-07-01 00:00:00,0
82,66,1,2032-07-01 00:00:00,0
83,14,2,2028-07-01 00:00:00,0
84,56,2,2034-07-01 00:00:00,0
85,3,2,2033-07-01 00:00:00,0
86,10,2,2036-07-01 00:00:00,1
87,10,2,2037-07-01 00:00:00,0
88,91,2,2050-07-01 00:00:00,0
89,86,2,2050-07-01 00:00:00,0
90,15,2,2028-07-01 00:00:00,0
91,58,2,2040-07-01 00:00:00,0
92,89,2,2044-07-01 00:00:00,0
93,5,2,2027-07-01 00:00:00,5
94,5,2,2029-07-01 00:00:00,3
95,5,2,2030-07-01 00:00:00,1
96,5,2,2031-07-01 00:00:00,0
97,74,2,2039-07-01 00:00:00,0
98,70,2,2035-07-01 00:00:00,0
99,88,2,2046-07-01 00:00:00,0
100,68,2,2039-07-01 00:00:00,0
101,6,2,2034-07-01 00:00:00,0
102,12,2,2030-07-01 00:00:00,2
103,12,2,2032-07-01 00:00:00,1
104,12,2,2033-07-01 00:00:00,0
105,65,2,2030-07-01 00:00:00,0
106,60,2,2046-07-01 00:00:00,0
107,13,2,2033-07-01 00:00:00,0
108,61,2,2049-07-01 00:00:00,0
109,4,2,2025-07-01 00:00:00,0
110,64,2,2045-07-01 00:00:00,0
111,59,2,2045-07-01 00:00:00,0
112,18,2,2033-07-01 00:00:00,1
113,18,2,2044-07-01 00:00:00,0
114,8,2,2027-07-01 00:00:00,1
115,8,2,2031-07-01 00:00:00,0
116,1,2,2029-07-01 00:00:00,2
117,1,2,2030-07-01 00:00:00,1
118,1,2,2031-07-01 00:00:00,0
119,55,2,2042-07-01 00:00:00,0
120,81,2,2033-07-01 00:00:00,0
121,19,2,2027-07-01 00:00:00,0
122,87,2,2026-07-01 00:00:00,0
123,77,2,2037-07-01 00:00:00,0
124,75,2,2050-07-01 00:00:00,0
125,80,2,2044-07-01 00:00:00,0
126,63,2,2039-07-01 00:00:00,0
127,83,2,2043-07-01 00:00:00,0
128,73,2,2047-07-01 00:00:00,0
129,57,2,2044-07-01 00:00:00,0
130,7,2,2033-07-01 00:00:00,0
131,79,2,2034-07-01 00:00:00,0
132,72,2,2030-07-01 00:00:00,0
133,2,2,2032-07-01 00:00:00,0
134,85,2,2027-07-01 00:00:00,0
135,21,2,2046-07-01 00:00:00,0
136,82,2,2036-07-01 00:00:00,0
137,11,2,2027-07-01 00:00:00,1
138,11,2,2028-07-01 00:00:00,0
139,76,2,2026-07-01 00:00:00,0
140,22,2,2027-07-01 00:00:00,0
141,67,2,2039-07-01 00:00:00,0
142,9,2,2034-07-01 00:00:00,0
143,66,2,2032-07-01 00:00:00,0
144,14,3,2027-07-01 00:00:00,1
145,14,3,2028-07-01 00:00:00,0
146,56,3,2034-07-01 00:00:00,0
147,3,3,2030-07-01 00:00:00,0
148,10,3,2030-07-01 00:00:00,1
149,10,3,2031-07-01 00:00:00,0
150,91,3,2050-07-01 00:00:00,0
151,86,3,2050-07-01 00:00:00,0
152,15,3,2028-07-01 00:00:00,0
153,58,3,2040-07-01 00:00:00,0
154,89,3,2044-07-01 00:00:00,0
155,5,3,2029-07-01 00:00:00,4
156,5,3,2030-07-01 00:00:00,0
157,74,3,2036-07-01 00:00:00,0
158,70,3,2035-07-01 00:00:00,0
159,88,3,2046-07-01 00:00:00,0
160,68,3,2039-07-01 00:00:00,0
161,6,3,2028-07-01 00:00:00,0
162,12,3,2027-07-01 00:00:00,0
163,65,3,2030-07-01 00:00:00,0
164,60,3,2046-07-01 00:00:00,0
165,13,3,2027-07-01 00:00:00,0
166,61,3,2049-07-01 00:00:00,0
167,4,3,2025-07-01 00:00:00,0
168,64,3,2045-07-01 00:00:00,0
169,59,3,2045-07-01 00:00:00,0
170,18,3,2033-07-01 00:00:00,1
171,18,3,2044-07-01 00:00:00,0
172,8,3,2031-07-01 00:00:00,0
173,1,3,2028-07-01 00:00:00,3
174,1,3,2029-07-01 00:00:00,0
175,55,3,2042-07-01 00:00:00,0
176,81,3,2033-07-01 00:00:00,0
177,19,3,2027-07-01 00:00:00,0
178,87,3,2026-07-01 00:00:00,0
179,77,3,2037-07-01 00:00:00,0
180,75,3,2050-07-01 00:00:00,0
181,80,3,2044-07-01 00:00:00,0
182,63,3,2039-07-01 00:00:00,0
183,83,3,2043-07-01 00:00:00,0
184,73,3,2047-07-01 00:00:00,0
185,57,3,2044-07-01 00:00:00,0
186,7,3,2027-07-01 00:00:00,0
187,79,3,2034-07-01 00:00:00,0
188,72,3,2030-07-01 00:00:00,0
189,2,3,2027-07-01 00:00:00,0
190,85,3,2027-07-01 00:00:00,0
191,21,3,2046-07-01 00:00:00,0
192,82,3,2036-07-01 00:00:00,0
193,11,3,2028-07-01 00:00:00,3
194,11,3,2029-07-01 00:00:00,1
195,11,3,2030-07-01 00:00:00,0
196,76,3,2026-07-01 00:00:00,0
197,22,3,2027-07-01 00:00:00,0
198,67,3,2039-07-01 00:00:00,0
199,9,3,2030-07-01 00:00:00,1
200,9,3,2033-07-01 00:00:00,0
201,66,3,2032-07-01 00:00:00,0
