id,electrolyser_id,scenario,date,value
754,10,2,2049-07-01 00:00:00,317582.1
755,10,3,2024-07-01 00:00:00,2513924.3
756,10,3,2025-07-01 00:00:00,2199550.1
757,10,3,2026-07-01 00:00:00,1923670.7
758,10,3,2027-07-01 00:00:00,1683078.2
759,10,3,2028-07-01 00:00:00,1472426.0999999999
760,10,3,2029-07-01 00:00:00,1288506.5
761,10,3,2030-07-01 00:00:00,1127042.2
762,10,3,2031-07-01 00:00:00,985894.6
763,10,3,2032-07-01 00:00:00,862925.1
764,10,3,2033-07-01 00:00:00,754925.7999999999
765,10,3,2034-07-01 00:00:00,660827.3999999999
766,10,3,2035-07-01 00:00:00,577421.9999999999
767,10,3,2036-07-01 00:00:00,505778.89999999997
768,10,3,2037-07-01 00:00:00,442690.19999999995
769,10,3,2038-07-01 00:00:00,387086.6
770,10,3,2039-07-01 00:00:00,337898.8
771,10,3,2040-07-01 00:00:00,296196.1
772,10,3,2041-07-01 00:00:00,272671.5
773,10,3,2042-07-01 00:00:00,253424.09999999998
774,10,3,2043-07-01 00:00:00,239523.19999999998
775,10,3,2044-07-01 00:00:00,226691.6
776,10,3,2045-07-01 00:00:00,215998.59999999998
777,10,3,2046-07-01 00:00:00,207444.19999999998
778,10,3,2047-07-01 00:00:00,196751.19999999998
779,10,3,2048-07-01 00:00:00,188196.8
780,10,3,2049-07-01 00:00:00,179642.4
781,11,1,2024-07-01 00:00:00,2513924.3
782,11,1,2025-07-01 00:00:00,2273331.8
783,11,1,2026-07-01 00:00:00,2056263.9
784,11,1,2027-07-01 00:00:00,1859512.6999999997
785,11,1,2028-07-01 00:00:00,1682008.9
786,11,1,2029-07-01 00:00:00,1521613.9
787,11,1,2030-07-01 00:00:00,1376189.0999999999
788,11,1,2031-07-01 00:00:00,1244665.2
789,11,1,2032-07-01 00:00:00,1124903.5999999999
790,11,1,2033-07-01 00:00:00,1017973.6
791,11,1,2034-07-01 00:00:00,920667.2999999999
792,11,1,2035-07-01 00:00:00,831915.4
793,11,1,2036-07-01 00:00:00,752787.2
794,11,1,2037-07-01 00:00:00,681144.1
795,11,1,2038-07-01 00:00:00,615916.7999999999
796,11,1,2039-07-01 00:00:00,557105.2999999999
797,11,1,2040-07-01 00:00:00,503640.3
798,11,1,2041-07-01 00:00:00,491878
799,11,1,2042-07-01 00:00:00,480115.69999999995
800,11,1,2043-07-01 00:00:00,452313.89999999997
801,11,1,2044-07-01 00:00:00,438412.99999999994
802,11,1,2045-07-01 00:00:00,425581.39999999997
803,11,1,2046-07-01 00:00:00,405264.69999999995
804,11,1,2047-07-01 00:00:00,383878.69999999995
805,11,1,2048-07-01 00:00:00,367839.19999999995
806,11,1,2049-07-01 00:00:00,350730.39999999997
807,11,2,2024-07-01 00:00:00,2513924.3
808,11,2,2025-07-01 00:00:00,2259430.9
809,11,2,2026-07-01 00:00:00,2030600.6999999997
810,11,2,2027-07-01 00:00:00,1825295.0999999999
811,11,2,2028-07-01 00:00:00,1640306.1999999997
812,11,2,2029-07-01 00:00:00,1474564.7
813,11,2,2030-07-01 00:00:00,1324862.7
814,11,2,2031-07-01 00:00:00,1191200.2
815,11,2,2032-07-01 00:00:00,1070369.2999999998
816,11,2,2033-07-01 00:00:00,962369.9999999999
817,11,2,2034-07-01 00:00:00,865063.7
818,11,2,2035-07-01 00:00:00,777381.1
819,11,2,2036-07-01 00:00:00,698252.8999999999
820,11,2,2037-07-01 00:00:00,627679.1
821,11,2,2038-07-01 00:00:00,564590.3999999999
822,11,2,2039-07-01 00:00:00,506848.19999999995
823,11,2,2040-07-01 00:00:00,455521.8
824,11,2,2041-07-01 00:00:00,434135.8
825,11,2,2042-07-01 00:00:00,417027
826,11,2,2043-07-01 00:00:00,398848.89999999997
827,11,2,2044-07-01 00:00:00,382809.39999999997
828,11,2,2045-07-01 00:00:00,368908.49999999994
829,11,2,2046-07-01 00:00:00,357146.19999999995
830,11,2,2047-07-01 00:00:00,345383.89999999997
831,11,2,2048-07-01 00:00:00,334690.9
832,11,2,2049-07-01 00:00:00,317582.1
833,11,3,2024-07-01 00:00:00,2513924.3
834,11,3,2025-07-01 00:00:00,2199550.1
835,11,3,2026-07-01 00:00:00,1923670.7
836,11,3,2027-07-01 00:00:00,1683078.2
837,11,3,2028-07-01 00:00:00,1472426.0999999999
838,11,3,2029-07-01 00:00:00,1288506.5
839,11,3,2030-07-01 00:00:00,1127042.2
840,11,3,2031-07-01 00:00:00,985894.6
841,11,3,2032-07-01 00:00:00,862925.1
842,11,3,2033-07-01 00:00:00,754925.7999999999
843,11,3,2034-07-01 00:00:00,660827.3999999999
844,11,3,2035-07-01 00:00:00,577421.9999999999
845,11,3,2036-07-01 00:00:00,505778.89999999997
846,11,3,2037-07-01 00:00:00,442690.19999999995
847,11,3,2038-07-01 00:00:00,387086.6
848,11,3,2039-07-01 00:00:00,337898.8
849,11,3,2040-07-01 00:00:00,296196.1
850,11,3,2041-07-01 00:00:00,272671.5
851,11,3,2042-07-01 00:00:00,253424.09999999998
852,11,3,2043-07-01 00:00:00,239523.19999999998
