id,name,alias,fuel,tech,type,capacity,forate,bus_id,pmin,pmax,rup,rdw,investment,active,cvar,cfuel,cvom,cfom,co2,slope,hrate,pfrmax,g,inertia,ffr,pfr,res2,res3,powerfactor,latitude,longitude,n,contingency
35,Hume Dam NSW,HUMENSW,Hydro,Reservoir,Kaplan,29,0.93439578,8,5.8,29,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.9000000000000004,0,2.5,0,1,1,0,0.85,-36.1067,147.0327,1,1
36,Hume Dam VIC,HUMEV,Hydro,Reservoir,Kaplan,29,0.93439578,9,5.8,29,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.9000000000000004,0,2.5,0,1,1,0,0.85,-36.1067,147.0327,1,1
37,John Butters,JBUTTERS,Hydro,Reservoir,Francis,144,0.93439578,10,28.8,144,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,14.4,0,2.5,0,1,1,0,0.85,-42.1548,145.5344,1,1
38,Kareeya,KAREEYA1,Hydro,Run-of-River,Pelton,21.6,0.93439578,1,4.32,21.6,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,2.16,0,2.5,0,1,1,0,0.85,-17.76716,145.5777,4,1
39,Lake Echo,LK_ECHO,Hydro,Reservoir,Francis,32.4,0.93439578,10,6.48,32.4,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,3.24,0,2.5,0,1,1,0,0.85,-42.2536,146.6206,1,1
40,Lemonthyme / Wilmot,LEM_WIL,Hydro,Reservoir,Francis,40.8,0.93439578,10,8.16,40.8,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,4.08,0,2.5,0,1,1,0,0.85,-41.6038,146.139,2,1
41,Mackintosh,MACKNTSH,Hydro,Reservoir,Francis,79.9,0.93439578,10,15.98,79.9,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,7.990000000000001,0,2.5,0,1,1,0,0.85,-41.6994,145.6472,1,1
42,Meadowbank,MEADOWBK,Hydro,Reservoir,Francis,40,0.93439578,10,8,40,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,4,0,2.5,0,1,1,0,0.85,-42.6111,146.8457,1,1
43,Murray 1,MURRAY,Hydro,Reservoir,Francis,95,0.93439578,9,19,95,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,9.5,0,2.5,0,1,1,0,0.85,-36.2468,148.1902,10,1
44,Murray 2,MURRAY,Hydro,Reservoir,Francis,138,0.93439578,9,27.6,138,9999,9999,0,1,8.579681333911427,0,8.579681333911427,0.06951,0,0.6,0,13.8,0,2.5,0,1,1,0,0.85,-36.2425,148.1364,4,1
